,count,mean,std,min,25%,50%,75%,max
NN errors,1014.0,-14.412747712295202,324.8843875551536,-3512.150390625,-61.79006576538086,17.95520782470703,70.06415176391602,2190.068115234375
LGBM errors,1014.0,-2.5611102538872994,332.5475450122853,-3627.5530930645746,-53.38770592353064,2.9320400845499806,54.80249859807256,2548.7625338961216
SVR errors,1014.0,-109.27151668376129,590.7922103647164,-6617.949358713983,-197.1233073112685,-4.642848892007805,88.87489488427144,2685.9051202890123
BS errors,1014.0,111.21039808671246,764.3031201224214,-4499.080792743534,-49.18593836757333,-2.457327096272934,74.19511205234971,9406.878405141728
